name,rate,category,location,info_link,cover_link
父子野餐,9.1,喜剧,美国,https://movie.douban.com/subject/1826855/,https://img3.doubanio.com/lpic/s8354516.jpg
周六夜现场,9.1,喜剧,美国,https://movie.douban.com/subject/21361552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1894383482.jpg
人人都爱雷蒙德: 最后的笑声,9.1,喜剧,美国,https://movie.douban.com/subject/3290527/,https://img3.doubanio.com/lpic/s3353335.jpg
周六夜现场：40周年特别庆典,9.1,喜剧,美国,https://movie.douban.com/subject/26320764/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2227937905.jpg
辛普森一家之万圣节专辑之恐怖树屋,9.1,喜剧,美国,https://movie.douban.com/subject/2296049/,https://img3.doubanio.com/lpic/s2753652.jpg
无所畏惧,9.1,喜剧,美国,https://movie.douban.com/subject/2173593/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322720201.jpg
人鼠之间,9.1,喜剧,美国,https://movie.douban.com/subject/26431592/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2252276881.jpg
淘金岁月,9.1,喜剧,美国,https://movie.douban.com/subject/1928887/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2357505174.jpg
辛普森一家之恐怖树屋第十七部,9.1,喜剧,美国,https://movie.douban.com/subject/2157194/,https://img1.doubanio.com/lpic/s2614747.jpg
飞行猫,9.1,喜剧,美国,https://movie.douban.com/subject/2137156/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2458595828.jpg
加菲猫的侦探故事,9.1,喜剧,美国,https://movie.douban.com/subject/3211959/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p868064563.jpg
网球白痴,9.1,喜剧,美国,https://movie.douban.com/subject/2137548/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494212990.jpg
德鲁大叔,9.2,喜剧,美国,https://movie.douban.com/subject/26665408/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2401288743.jpg
爆竹风波,9.1,喜剧,美国,https://movie.douban.com/subject/2137554/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494213107.jpg
两个小印第安,9.1,喜剧,美国,https://movie.douban.com/subject/5262247/,https://img3.doubanio.com/lpic/s4467782.jpg
马克吐温美国幽默奖：蒂娜·菲,9.1,喜剧,美国,https://movie.douban.com/subject/5367928/,https://img1.doubanio.com/lpic/s4541828.jpg
捕鼠陷阱,9.1,喜剧,美国,https://movie.douban.com/subject/2137177/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2458596041.jpg
休战的伤害,9.1,喜剧,美国,https://movie.douban.com/subject/5290009/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2464858879.jpg
宠物之争,9.1,喜剧,美国,https://movie.douban.com/subject/5262258/,https://img3.doubanio.com/lpic/s8459243.jpg
本尼·希尔搞笑表演集锦,9.1,喜剧,美国,https://movie.douban.com/subject/1494928/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327819375.jpg
Matthew Gray Gubler: The Unauthorized Documentary,9.1,喜剧,美国,https://movie.douban.com/subject/3830052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194290495.jpg
周六夜现场:   艾米·波勒精选集,9.1,喜剧,美国,https://movie.douban.com/subject/3703336/,https://img3.doubanio.com/lpic/s4073912.jpg
一路順風，查理布朗,9.1,喜剧,美国,https://movie.douban.com/subject/1296181/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206513238.jpg
阿福世界,9.1,喜剧,美国,https://movie.douban.com/subject/4603384/,https://img1.doubanio.com/lpic/s4214847.jpg
A Colbert Christmas: The Greatest Gift of All!,9.1,喜剧,美国,https://movie.douban.com/subject/3312796/,https://img3.doubanio.com/lpic/s3376726.jpg
光荣的日子,9.1,喜剧,美国,https://movie.douban.com/subject/3724036/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1112469352.jpg
飞越疯人院,9.0,喜剧,美国,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
电焊工波力,9.0,喜剧,美国,https://movie.douban.com/subject/3338821/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1202712652.jpg
